date,year,month,month_no,quarter,transport_index,transport_inflation,monthly_transport_change,monthly_transport_change_pct
2025-01-01,2025,January,1,Q1,100.55,,,
2025-02-01,2025,February,2,Q1,100.74,0.19,0.19,0.19
2025-03-01,2025,March,3,Q1,100.73,-0.01,-0.01,-0.01
2025-04-01,2025,April,4,Q2,100.85,0.12,0.12,0.12
2025-05-01,2025,May,5,Q2,100.96,0.11,0.11,0.11
2025-06-01,2025,June,6,Q2,101.09,0.13,0.13,0.13
2025-07-01,2025,July,7,Q3,101.14,0.05,0.05,0.05
2025-08-01,2025,August,8,Q3,101.24,0.1,0.1,0.1
2025-09-01,2025,September,9,Q3,101.06,-0.18,-0.18,-0.18
2025-10-01,2025,October,10,Q4,100.44,-0.61,-0.62,-0.61
2025-11-01,2025,November,11,Q4,100.53,0.09,0.09,0.09
2025-12-01,2025,December,12,Q4,100.57,0.04,0.04,0.04
2026-01-01,2026,January,1,Q1,100.64,0.09,0.07,0.07
2026-02-01,2026,February,2,Q1,100.69,-0.05,0.05,0.05
2026-03-01,2026,March,3,Q1,100.73,0.0,0.04,0.04
2026-04-01,2026,April,4,Q2,100.84,-0.01,0.11,0.11
2026-05-01,2026,May,5,Q2,102.73,1.75,1.89,1.87
