date,financial_year,year,production_mmt,imports_mmt,consumption_mmt,import_dependency_pct,domestic_production_share_pct,import_to_production_ratio
2016-04-01,2016-17,2016,28.4,166.2,194.6,85.41,14.59,5.85
2017-04-01,2017-18,2017,35.4,170.8,206.2,82.83,17.17,4.82
2018-04-01,2018-19,2018,33.8,179.4,213.2,84.15,15.85,5.31
2019-04-01,2019-20,2019,32.2,181.9,214.1,84.96,15.04,5.65
2020-04-01,2020-21,2020,30.5,163.8,194.3,84.3,15.7,5.37
2021-04-01,2021-22,2021,29.7,172.0,201.7,85.28,14.72,5.79
2022-04-01,2022-23,2022,29.2,193.8,223.0,86.91,13.09,6.64
2023-04-01,2023-24,2023,29.4,204.9,234.3,87.45,12.55,6.97
2024-04-01,2024-25,2024,28.7,210.5,239.2,88.0,12.0,7.33
2025-04-01,2025-26,2025,28.0,215.2,243.2,88.49,11.51,7.69
