analysis_year,rank,country,import_value_usd_billion,import_share_pct,opec_member,hormuz_dependency,risk_level,risk_score
2025,1,Russia,43.4,32.33,No,Low,Low,1
2025,2,Iraq,25.3,18.85,Yes,High,High,5
2025,3,Saudi Arabia,19.9,14.83,Yes,High,High,5
2025,4,United Arab Emirates,15.0,11.18,Yes,High,High,5
2025,5,United States,9.8,7.3,No,Low,Low,1
2025,6,Kuwait,4.6,3.43,Yes,High,High,5
2025,7,Nigeria,3.9,2.91,No,Low,Low,1
2025,8,Angola,3.4,2.53,No,Low,Low,1
2025,9,Brazil,1.81,1.35,No,Low,Low,1
2025,10,Egypt,1.76,1.31,No,Low,Low,1
2025,11,Colombia,1.54,1.15,No,Low,Low,1
2025,12,Qatar,1.52,1.13,Yes,High,High,5
2025,13,Oman,1.0,0.75,No,High,Medium,3
2025,14,Mexico,0.6512,0.49,No,Low,Low,1
2025,15,Venezuela,0.6391,0.48,No,Low,Low,1
