date,financial_year,year,month,month_no,quarter,route,average_transit_days,average_delay_days,total_transit_days,delay_percentage,remarks
2024-04-01,2024-25,2024,April,4,Q2,Middle East-India,12,0,12,0.0,Normal operations
2024-05-01,2024-25,2024,May,5,Q2,Middle East-India,12,0,12,0.0,Normal operations
2024-06-01,2024-25,2024,June,6,Q2,Middle East-India,12,0,12,0.0,Normal operations
2024-07-01,2024-25,2024,July,7,Q3,Middle East-India,12,1,13,8.33,Minor congestion
2024-08-01,2024-25,2024,August,8,Q3,Middle East-India,13,1,14,7.69,Seasonal traffic
2024-09-01,2024-25,2024,September,9,Q3,Middle East-India,13,1,14,7.69,Port congestion
2024-10-01,2024-25,2024,October,10,Q4,Middle East-India,12,0,12,0.0,Normal operations
2024-11-01,2024-25,2024,November,11,Q4,Middle East-India,12,0,12,0.0,Normal operations
2024-12-01,2024-25,2024,December,12,Q4,Middle East-India,13,1,14,7.69,Holiday congestion
2025-01-01,2024-25,2025,January,1,Q1,Middle East-India,13,1,14,7.69,Weather-related slowdown
2025-02-01,2024-25,2025,February,2,Q1,Middle East-India,12,0,12,0.0,Normal operations
2025-03-01,2024-25,2025,March,3,Q1,Middle East-India,12,0,12,0.0,FY end
2025-04-01,2025-26,2025,April,4,Q2,Middle East-India,12,0,12,0.0,Normal operations
2025-05-01,2025-26,2025,May,5,Q2,Middle East-India,13,1,14,7.69,Rising regional tensions
2025-06-01,2025-26,2025,June,6,Q2,Middle East-India,18,6,24,33.33,Hormuz security disruption
2025-07-01,2025-26,2025,July,7,Q3,Middle East-India,17,5,22,29.41,Partial recovery
2025-08-01,2025-26,2025,August,8,Q3,Middle East-India,16,4,20,25.0,Elevated security checks
2025-09-01,2025-26,2025,September,9,Q3,Middle East-India,15,3,18,20.0,Improving conditions
2025-10-01,2025-26,2025,October,10,Q4,Middle East-India,14,2,16,14.29,Traffic stabilizing
2025-11-01,2025-26,2025,November,11,Q4,Middle East-India,13,1,14,7.69,Near normal
2025-12-01,2025-26,2025,December,12,Q4,Middle East-India,13,1,14,7.69,Stable
2026-01-01,2025-26,2026,January,1,Q1,Middle East-India,12,0,12,0.0,Normal operations
2026-02-01,2025-26,2026,February,2,Q1,Middle East-India,12,0,12,0.0,Normal operations
2026-03-01,2025-26,2026,March,3,Q1,Middle East-India,12,0,12,0.0,FY end
